"Timestamp","Select you gender?","Are you from a government or a private university?","Are you from Technology/Engineering stream?","What is your current residential province?","How satisfied are you with the devices you have for e-learning?","How satisfied are you with the signal strengths and network speed you have?","How easy for you to manage the cost/bills for internet service providers?","How satisfied are you with the interaction you have with the lecturers online?","How satisfied are you with the interaction you have with other students in the class?","How satisfied are you with the suitability of the syllabus contents you had online?","How satisfied are you with the resources/materials provided by your university?","How satisfied are you with the exams/assignments done through e-learning?","How well could you manage time while learning remotely?","How stressful is e-learning for you?"
"2021/10/17 10:31:38 pm GMT+5:30","Male","Private","Yes","Western Province","Neutral","Neutral","hard","Neutral","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Stressful"
"2021/10/17 10:50:08 pm GMT+5:30","Male","Private","Yes","Western Province","Very dissatisfied","Dissatisfied","hard","Very dissatisfied","Neutral","Very dissatisfied","Very dissatisfied","Very dissatisfied","Hard to manage","Very stressful"
"2021/10/17 10:51:03 pm GMT+5:30","Female","Both","Yes","Western Province","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Neutral","Neutral","Stressful"
"2021/10/17 11:01:44 pm GMT+5:30","Female","Private","Yes","Southern Province","Neutral","Dissatisfied","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Dissatisfied","Neutral","Stressful"
"2021/10/17 11:15:47 pm GMT+5:30","Male","Private","Yes","Western Province","Neutral","Neutral","hard","Dissatisfied","Dissatisfied","Neutral","Neutral","Dissatisfied","Neutral","Stressful"
"2021/10/17 11:39:27 pm GMT+5:30","Female","Private","Yes","Southern Province","Satisfied","Satisfied","Neutral","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Neutral","Stressful"
"2021/10/17 11:50:42 pm GMT+5:30","Male","Private","Yes","Western Province","Satisfied","Very dissatisfied","hard","Neutral","Neutral","Neutral","Dissatisfied","Neutral","Hard to manage","Very stressful"
"2021/10/18 12:07:03 am GMT+5:30","Male","Private","Yes","Western Province","Dissatisfied","Very dissatisfied","hard","Dissatisfied","No online interaction","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very hard to manage","Very stressful"
"2021/10/18 11:57:32 pm GMT+5:30","Male","Government","Yes","Western Province","Neutral","Satisfied","hard","Neutral","No online interaction","Very satisfied","Satisfied","Satisfied","Neutral","Stressful"
"2021/10/20 11:45:24 am GMT+5:30","Male","Private","Yes","Uva Province","Neutral","Neutral","Neutral","Very satisfied","Neutral","Satisfied","Neutral","Satisfied","Hard to manage","Neutral"
"2021/10/20 11:48:11 am GMT+5:30","Male","Government","No","Uva Province","Satisfied","Neutral","Neutral","Neutral","Neutral","Satisfied","Satisfied","Dissatisfied","Easy to manage","Stressful"
"2021/10/20 11:55:23 am GMT+5:30","Female","Government","No","Uva Province","Neutral","Dissatisfied","hard","Neutral","Neutral","Dissatisfied","Dissatisfied","Satisfied","Neutral","Relaxing"
"2021/10/20 11:57:50 am GMT+5:30","Female","Private","Yes","Western Province","Satisfied","Dissatisfied","Neutral","Dissatisfied","Neutral","Satisfied","Neutral","Neutral","Easy to manage","Stressful"
"2021/10/20 12:00:50 pm GMT+5:30","Female","Private","Yes","Southern Province","Satisfied","Very dissatisfied","Neutral","Dissatisfied","Very dissatisfied","Neutral","Satisfied","Neutral","Hard to manage","Very stressful"
"2021/10/20 12:14:47 pm GMT+5:30","Female","Government","No","Southern Province","Neutral","Neutral","Neutral","Dissatisfied","Dissatisfied","Neutral","Dissatisfied","Neutral","Neutral","Neutral"
"2021/10/20 12:21:03 pm GMT+5:30","Male","Private","Yes","Eastern Province","Very satisfied","Very dissatisfied","Neutral","Neutral","Satisfied","Neutral","Very satisfied","Very dissatisfied","Hard to manage","Very stressful"
"2021/10/20 1:31:53 pm GMT+5:30","Female","Private","No","Uva Province","Satisfied","Neutral","easy","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Stressful"
